CODE,PARENT,PARENT SCOPE,DIRECTION,INVERSE,INVERSE SCOPE,COMPARABLE,NAME,NAME_EN,NAME_RU,NAME_AR,DESCRIPTION,DESCRIPTION_EN,DESCRIPTION_RU,DESCRIPTION_AR
73,7,,EXPENDITURE,23,,True,תכנון ובנין עיר,Urban Planning and Construction,,التخطيط وتقسيم المناطق,,,,
731,73,,EXPENDITURE,231,,True,משרד מהנדס הרשות,Municipal Engineer's Office,,مكتب مهندس السلطة,,,,
732,73,,EXPENDITURE,232,,True,תכנון עיר,Urban Planning,,تخطيط المدن,,,,
7321,732,,EXPENDITURE,2321,,False,תכנון כללי,General Planning,,التخطيط العام,,,,
7322,732,,EXPENDITURE,2322,,False,תוכנית אב,Master Plan,,خطة رئيسية,,,,
7323,732,,EXPENDITURE,2323,,False,מדידות,Land Survey Measurements,,قياسات,,,,
733,73,,EXPENDITURE,233,,True,רישוי ופיקוח על הבניה,Construction Lisencing and Supervision,,منح التراخيص والإشراف على البناء,,,,
7331,733,,EXPENDITURE,2331,,False,"אגרות, רישיונות בניה",Construction Lisencing Fees,,الرسوم، وتراخيص البناء,,,,
7332,733,,EXPENDITURE,2332,,False,פקוח על הבניה,Construction Supervision,,الإشراف على البناء,,,,
7333,733,,EXPENDITURE,2333,,False,פיקוח על בנינים מסוכנים,Dangerous Buildings Supervsion,,الإشراف على المباني الخطرة,,,,
7334,733,,EXPENDITURE,2334,,False,ועדה מקומית לתכנון ובניה,Local Planning and Construction Committee,,اللجنة المحلية للتخطيط والبناء,,,,
74,7,,EXPENDITURE,24,,True,נכסים ציבוריים,Public Assets,,ممتلكات عامة,,,,
741,74,,EXPENDITURE,241,,True,מינהל נכסים ציבוריים,Public Assets Administration,,إدارة ممتلكات عامة,,,,
742,74,,EXPENDITURE,242,,True,דרכים ומדרכות,Roads and Pavements,,طرق والأرصفة,,,,
7421,742,,EXPENDITURE,2421,,False,אחזקת כבישים עורקים,Main Road Maintenance,,صيانة الطرق الشريانية,,,,
7422,742,,EXPENDITURE,2422,,False,אחזקת כבישים פנימיים ומדרכות,Internal Road and Pavement Maintenance,,صيانة الطرق الداخلية والأرصفة,,,,
743,74,,EXPENDITURE,243,,True,תאורת רחובות,Street Lighting,,إنارة الشوارع,,,,
744,74,,EXPENDITURE,244,,True,בטיחות בדרכים,Road Safety,,أمن في الطرق,,,,
7441,744,,EXPENDITURE,2441,,False,תחזוקת רמזורים ואיי תנועה,Traffic Light and Road Isle Maintenance,,صيانة إشارات المرور وجزر الحركة,,,,
7442,744,,EXPENDITURE,2442,,False,תחזוקת מעברים תת קרקעיים וגשרים,Underground Passage and Bridge Maintenance,,صيانة الأنفاق والجسور,,,,
7443,744,,EXPENDITURE,2443,,False,מעקות ואמצעי בטיחות,Balisters and Safety Devices,,السور وتدابير السلامة,,,,
7444,744,,EXPENDITURE,2444,,False,שלטים תמרורים וסימוני כבישים,"Sign Posts, Traffic Sings, and Road Marking",,علامات الطريق  وإشارات المرور,,,,
7445,744,,EXPENDITURE,2445,,False,מטה בטיחות עירוני,Municipal Safety Headquaeters,,قيادة السلامة البلدية,,,,
745,74,,EXPENDITURE,245,,True,תיעול וניקוז,Canalization and Drainage,,المجاري والصرف,,,,
746,74,,EXPENDITURE,246,,True,גנים ונטיעות,Parks and Planting,,حدائق وزراعة,,,,
7461,746,,EXPENDITURE,2461,,False,גינות ציבוריות,Public Parks,,حدائق عامة,,,,
7462,746,,EXPENDITURE,2462,,False,טיפוח פינות נוי,Street Flora Cultivation,,العناية بزوايا زخرفية,,,,
7463,746,,EXPENDITURE,2463,,False,מזרקות ואלמנטי רחוב אומנותיים,Water Fountains and Art Street Elements,,نوافير وعناصر شارع فنية,,,,
7464,746,,EXPENDITURE,2464,,False,ריהוט רחוב ומתקני משחקים,Street furniture and Game Installations,,أثاث الشوارع ومعدات الملعب,,,,
747,74,,EXPENDITURE,247,,True,"חופים, בריכות ומרחצאות","Beaches, Pools and Public Baths",,"شواطئ, برك سباحة والحمامات",,,,
7472,747,,EXPENDITURE,2472,,False,חופי רחצה,Beaches,,شواطئ,,,,
7473,747,,EXPENDITURE,2473,,False,בריכות שחיה,Swimming Pools,,برك سباحة,,,,
7474,747,,EXPENDITURE,2474,,False,מרחצאות,Public Baths,,حمامات,,,,
748,74,,EXPENDITURE,248,,True,בתי עלמין,Cemeteries,,مقابر,,,,
749,74,,EXPENDITURE,249,,True,נכסים ציבוריים אחרים,Other Public Assets,,الأصول العامة الأخرى,,,,
75,7,,EXPENDITURE,25,,True,חגיגות מבצעים ואירועים,"Celebrations, Projects and Events",,احتفالات كبيرة واحداث,,,,
751,75,,EXPENDITURE,251,,False,חגיגות יום העצמאות,Independence Day Celebration,,احتفالات عيد الاستقلال,,,,
752,75,,EXPENDITURE,252,,False,חגיגות וטכסים אחרים,Celebrations and other Ceremonies,,الاحتفالات وغيرها من الطقوس,,,,
753,75,,EXPENDITURE,253,,False,פעולות אימוץ,Adoption Events/Activities,,تطبيقات تبني,,,,
754,75,,EXPENDITURE,254,,False,קשרים בינלאומיים,International Relations,,علاقات دولية,,,,
756,75,,EXPENDITURE,256,,False,כנסים ואירועים בינלאומיים,International Conferences and Events,,المؤتمرات الدولية,,,,
76,7,,EXPENDITURE,26,,True,שירותים עירוניים שונים,Various Municipal Services,,خدمات حضرية مختلفة,,,,
761,76,,EXPENDITURE,261,,True,מוקד עירוני,Municipal Help Center/call line,,مركز حضري,,,,
762,76,,EXPENDITURE,262,,True,מידע לציבור,Information for the Public,,معلومات للجمهور,,,,
764,76,,EXPENDITURE,264,,True,תרבות הדיור,Association for the Culture of Living,,ثقافة السكن,,,,
765,76,,EXPENDITURE,265,,True,מוסדות כלליים,General Institutions,,المؤسسات العامة,,,,
766,76,,EXPENDITURE,266,,True,ועדים מקומיים,Local Committees,,اللجان المحلية,,,,
767,76,,EXPENDITURE,267,,True,בטוח אלמנטרי לרשות,Municipality Elementary Insurance,,بلدية التأمين الابتدائية,,,,
768,76,,EXPENDITURE,268,,True,מפעם - מרכז הדרכה אזורי,Mif'am - Regional Training Center,,مفعم -مركز الإرشاد الإقليمي,,,,
769,76,,EXPENDITURE,269,,True,שירותים שונים,Various Services,,الخدمات المختلفة,,,,
77,7,,EXPENDITURE,27,,True,פיתוח כלכלי,Economic Development,,التنمية الاقتصادية,,,,
771,77,,EXPENDITURE,271,,False,עידוד קייט ותיירות,Recreation and Tourist Promotion,,الترفيه والدعم السياحي,,,,
772,77,,EXPENDITURE,272,,False,עידוד תעשיה ומלאכה,Industry and Handicraft Promotion,,تشجيع الصناعة والحرف اليدوية,,,,
773,77,,EXPENDITURE,273,,False,חברות עירוניות,Municipal Companies/Corporates,,الشركات البلدية,,,,
7731,773,,EXPENDITURE,2731,,False,הון מניות,Shares Capital,,رأس المال,,,,
7732,773,,EXPENDITURE,2732,,False,הלוואות בעלים ושטרי הון,Owners' Loans and Capital Notes,,قروض المساهمين، وتلاحظ العاصمة,,,,
78,7,,EXPENDITURE,28,,True,פיקוח עירוני,Municipal Supervision,,تفتيش البلدية,,,,
781,78,,EXPENDITURE,281,,False,פיקוח על חוקי עזר,Supervision of By-Laws,,الإشراف على اللائحة الداخلية,,,,
782,78,,EXPENDITURE,282,,False,בית משפט עירוני,Municipal Court,,محكمة البلدية,,,,
79,7,,EXPENDITURE,29,,True,שירותים חקלאיים,Agricultural Services,,خدمات للمزارعين,,,,
791,79,,EXPENDITURE,291,,False,מינהל שירותים חקלאים,Agricultural Services Administration,,إدارة خدمات المزارعين,,,,
792,79,,EXPENDITURE,292,,False,שרות השדה,Field Service,,الخدمات الميدانية,,,,
793,79,,EXPENDITURE,293,,False,מלחמה במזיקים לחקלאות,Fighting Harmful Insects to the Agriculture,,حرب الآفات الزراعية,,,,
794,79,,EXPENDITURE,294,,False,תצפיות ותחנות ניסיונות,Observation and Experiment Sites,,مواقع المراقبة والتجربة,,,,
795,79,,EXPENDITURE,295,,False,הדרכה חקלאית,Agricultural training/support,,التدريب الزراعي,,,,
796,79,,EXPENDITURE,296,,False,עבודות ניקוז מקומי ואזורי,Local and Regional Drainage Works,,تصريف الأعمال المحلية والإقليمية,,,,
797,79,,EXPENDITURE,297,,False,שמירת שדות,Field Guarding,,حفظ الحقول,,,,
799,79,,EXPENDITURE,299,,False,שירותים חקלאיים אחרים,Other Agricaltural Services,,الخدمات الزراعية الأخرى,,,,
8,,,EXPENDITURE,3,,True,שירותים ממלכתיים,State/Municipal Services,,الخدمات الحكومية,,,,
81,8,,EXPENDITURE,31,,True,חינוך,Education,,تعليم,,,,
811,81,,EXPENDITURE,311,,True,מינהל החינוך,Educational Administration,,إدارة التعليم,,,,
812,81,,EXPENDITURE,312,,True,חינוך קדם יסודי,Pre-School Education,,التعليم قبل المدرسي,,,,
8121,812,,EXPENDITURE,,,False,מינהל החינוך הקדם יסודי,Pre-School Education Administration,,إدارة التعليم قبل المدرسي,,,,
8122,812,,EXPENDITURE,3122,,False,גני ילדים גיל חובה,Mandatory Kindergardens,,رياض الأطفال إلزامية,,,,
8123,812,,EXPENDITURE,3123,,False,גני ילדים טרום חובה,Pre-Mandatory Kindergardens,,رياض الأطفال ما قبل الإلزامي,,,,
8124,812,,EXPENDITURE,3124,,False,מעונות ופעוטונים,Day Care and Nursery Schools,,الرعاية النهارية ودور الحضانة المدارس,,,,
8125,812,,EXPENDITURE,3125,,False,גני מועדון וצהרונים,Nursery School and After Nursery School Clubs,,نادي الحدائق وبرامج ما بعد المدرسة,,,,
8126,812,,EXPENDITURE,3126,,False,גני ילדים לחינוך מיוחד,Special Education Kindergardens,,رياض الأطفال التربية الخاصة,,,,
8128,812,,EXPENDITURE,3128,,False,קייטנה/חודש לימודים נוסף לגנ״י,Summer Camp/Additional School Month for Kindergardens,,مخيم صيفي / مدرسة إضافية شهر لرياض الأطفال,,,,
813,81,,EXPENDITURE,313,,True,חינוך יסודי,Elementary Education,,التعليم الإبتدائي,,,,
8131,813,,EXPENDITURE,3131,,False,מינהל החינוך היסודי,Elementary Education Administration,,إدارة التعليم الابتدائي,,,,
8132,813,,EXPENDITURE,3132,,False,בתי״ס יסודיים,Elementary Schools,,المدارس الابتدائية,,,,
8133,813,,EXPENDITURE,3133,,False,חינוך מיוחד,Special Education,,التعليم الخاص,,,,
8134,813,,EXPENDITURE,3134,,False,חוגים לתלמידים מחוננים ומוכשרים,After School Gifted and Abled Students' Classes,,فئات الطلبة الموهوبين والمتفوقين,,,,
8135,813,,EXPENDITURE,3135,,False,ישיבות קטנות ותלמודי תורה,Small Yeshiva's and Talmud Toras,,الاجتماعات الصغيرة والتلمود التوراة,,,,
8136,813,,EXPENDITURE,3136,,False,חינוך משלים בבתי״ס,Schools' Complementary Education,,التعليم التكميلي في المدارس,,,,
8137,813,,EXPENDITURE,3137,,False,חוות חקלאיות,Agricultural Ranches,,المزارع,,,,
8138,813,,EXPENDITURE,3138,,False,קייטנות לימודיות וחודש לימוד נוסף,Educational Summer Camps and Summer-Month Schools,,مخيمات تعليمية وشهر معرفة المزيد,,,,
814,81,,EXPENDITURE,314,,True,חטיבות ביניים,Junior High Schools,,مدارس الأوسط,,,,
815,81,,EXPENDITURE,315,,True,חינוך על יסודי,Senior High Schools,,مدرسة ثانوية,,,,
8151,815,,EXPENDITURE,3151,,False,מינהל החינוך העל יסודי,Senior High Schools Administration,,إدارة التعليم الثانوي,,,,
8152,815,,EXPENDITURE,3152,,False,בתי״ס על יסודיים עיוניים,Academic Senior High Schools,,المدارس الثانوية النظرية,,,,
8153,815,,EXPENDITURE,3153,,False,בתי״ס ערב על יסודיים,Evening Senior High Schools,,المدارس المسائية للابتدائية,,,,
8154,815,,EXPENDITURE,3154,,False,ישיבות תיכוניות אולפנות ומתיבתאות,"High School Yeshivas, Female Students' Religious High Schools and מתיבתאות",,جلسات ثانوية אולפנות ומתיבתאות,,,,
8155,815,,EXPENDITURE,3155,,False,בתי״ס על יסודיים מקצועיים,Vocational Senior High Schools,,المدارس الثانوية والمهنية,,,,
8156,815,,EXPENDITURE,3156,,False,בתי״ס על יסודיים חקלאיים,Agricultural Senior High Schools,,المدارس الثانوية الزراعية,,,,
8157,815,,EXPENDITURE,3157,,False,בתי״ס על יסודיים מקיפים,Comprehensive Senior High Schools,,المدارس الابتدائية الشاملة,,,,
816,81,,EXPENDITURE,316,,True,חינוך גבוה,Higher Education,,التعليم العالي,,,,
8162,816,,EXPENDITURE,3162,,False,אוניברסיטאות,Universities,,الجامعات,,,,
8163,816,,EXPENDITURE,3163,,False,מוסדות להשכלה טכנולוגית גבוהה,Technological Higher Education Institutions,,مؤسسات التعليم التكنولوجي الرفيع,,,,
8164,816,,EXPENDITURE,3164,,False,ישיבות גבוהות וכוללים,High Yeshivas and כוללים,,المدارس الدينية اليهودية وتشمل,,,,
8165,816,,EXPENDITURE,3165,,False,בתי מדרש למורים,Teachers' Colleges,,بيت مدراش للمعلمين,,,,
8166,816,,EXPENDITURE,3166,,False,מכללות,Colleges,,الكليات,,,,
8167,816,,EXPENDITURE,3167,,False,אמנות,Art,,فن,,,,
8168,816,,EXPENDITURE,3168,,False,קרן מלגות עירונית,Municipal Scholarship Fund,,صندوق المنح الدراسية في المناطق الحضرية,,,,
817,81,,EXPENDITURE,317,,True,שירותים נוספים לבתי״ס וגנ״י,Schools and Kindergardens Additional Services,,خدمات للمدارس ورياض الأطفال,,,,
8171,817,,EXPENDITURE,3171,,True,קב״ט שמירח ובטחון מוסדות חינוך,Educational Institutions' Guard and Security Officer,,ضابط أمن وأمن مؤسسات التعليم,,,,
8172,817,,EXPENDITURE,3172,,True,מרכזית פדגוגית,Pedagogical Center,,مركز التربوية,,,,
8173,817,,EXPENDITURE,3173,,True,שרות פסיכולוגי חינוכי,Psychoeducational Service,,الخدمة النفسية التعليمية,,,,
8174,817,,EXPENDITURE,3174,,True,שרות בריאות לתלמיד,Student Health Service,,خدمة الصحة الطلابية,,,,
8175,817,,EXPENDITURE,3175,,True,בטוח תלמידים,Student Insurance,,تأمين الطلاب,,,,
8176,817,,EXPENDITURE,3176,,True,רווחה חינוכית,Educational Welfare Service,,الرعاية التعليمية,,,,
8177,817,,EXPENDITURE,3177,,True,קב״סים,School Attendance Officers,,ضباط الحضور في المدارس,,,,
8178,817,,EXPENDITURE,3178,,True,הסעות ילדים,Children Transportation,,نقل الأطفال,,,,
8179,817,,EXPENDITURE,3179,,True,שירותים אחרים,Other Services,,خدمات أخرى,,,,
818,81,,EXPENDITURE,318,,True,חינוך מבוגרים,Adult Education,,تعليم الكبار,,,,
819,81,,EXPENDITURE,319,,True,שירותי חינוך מיוחדים,Special Educational Services,,خدمات التعليم الخاص,,,,
8191,819,,EXPENDITURE,3191,,False,חינוך מוכר שאינו רשמי,Recognized Non-Municipal and Non-State Education,,التعليم المعترف بها ليس رسميا,,,,
82,8,,EXPENDITURE,32,,True,תרבות,Culture,,ثقافة,,,,
821,82,,EXPENDITURE,321,,False,מינהל התרבות,Culture Administration,,إدارة الثقافة,,,,
822,82,,EXPENDITURE,322,,False,פעולות תרבות,Culture Activities/initiatives/Events,,النشطات الثقافية,,,,
823,82,,EXPENDITURE,323,,False,ספריות עירוניות,Municipal Libraries,,المكاتب المدينة,,,,
824,82,,EXPENDITURE,324,,False,מתנ״סים,Community Centers,,مراكز اجتماعية,,,,
825,82,,EXPENDITURE,325,,False,מוסיקה ומחול,Music and Dance,,الموسيقى والرقص,,,,
8251,825,,EXPENDITURE,3251,,False,קונסרבטוריון,Music Conservatory,,موسيقى الكونسرفاتوار,,,,
8252,825,,EXPENDITURE,3252,,False,תזמורת עירונית,Municipal Orchestra,,أوركسترا حضرية,,,,
8254,825,,EXPENDITURE,3254,,False,מקהלה עירונית,Municipal Choir,,جوقة بلدية,,,,
826,82,,EXPENDITURE,326,,False,מוקדי תרבות,Cultural Centers,,المراكز الثقافية,,,,
8261,826,,EXPENDITURE,3261,,False,תיאטרונים,Theatres,,مسارح,,,,
8262,826,,EXPENDITURE,3262,,False,מוזיאונים,Museums,,متاحف,,,,
8263,826,,EXPENDITURE,3263,,False,גן חיות,Zoo,,حديقة الحيوانات,,,,
8264,826,,EXPENDITURE,3264,,False,מוקדי תרבות אחרים,Other Cultural Centers,,مراكز ثقافية أخرى,,,,
827,82,,EXPENDITURE,327,,False,תרבות תורנית,Jewish Religious Culture,,الثقافة الدينية,,,,
828,82,,EXPENDITURE,328,,False,נוער,Youth,,شباب,,,,
8281,828,,EXPENDITURE,3281,,False,מינהל הנוער,Youth Administration,,ادارة الشباب,,,,
8282,828,,EXPENDITURE,3282,,False,מוקדי הפעלת נוער,Youth Activation Administration,,مراكز  تشغيل الشباب,,,,
8283,828,,EXPENDITURE,3283,,False,חוגי נוער,After school youth programs,,برامج الشباب,,,,
8284,828,,EXPENDITURE,3284,,False,קייטנות נוער,Youth Summer Camps,,المخيمات الصيفية للشباب,,,,
8289,828,,EXPENDITURE,3289,,False,תנועות נוער,Youth Movements,,حركات الشباب,,,,
829,82,,EXPENDITURE,329,,False,ספורט,Sports,,,,,,
83,8,,EXPENDITURE,33,,True,בריאות,Health,,الصحة,,,,
832,83,,EXPENDITURE,332,,False,מרפאות,Clinics,,عيادات,,,,
8321,832,,EXPENDITURE,3321,,False,מרפאות יעוץ,Consultation Clinics,,عيادات تقسيم المناطق,,,,
8322,832,,EXPENDITURE,3322,,False,מרפאות כלליות,General Clinics,,عيادات عامة,,,,
8323,832,,EXPENDITURE,3323,,False,מרפאות שיניים,Dental Clinics,,عيادات الأسنان,,,,
8324,832,,EXPENDITURE,3324,,False,תחנות אם וילד,Child and Mother Clinics,,عيادات الطفل والأم,,,,
833,83,,EXPENDITURE,333,,False,בתי חולים,Hospitals,,المستشفيات,,,,
8331,833,,EXPENDITURE,3331,,False,בתי חולים כלליים,General Hospitals,,المستشفيات العامة,,,,
8332,833,,EXPENDITURE,3332,,False,בתי חולים אחרים,Other Hospitals,,مستشفيات أخرى,,,,
834,83,,EXPENDITURE,334,,False,בתי ספר לאחיות,Nursing Schools,,مدارس التمريض,,,,
835,83,,EXPENDITURE,335,,False,מוסדות בריאות אחרים,Other Health Institutions,,المؤسسات الصحية الأخرى,,,,
836,83,,EXPENDITURE,336,,False,שירותי חירום ריפואים,Emergency Health Services,,الخدمات الطبية الطارئة,,,,
8361,836,,EXPENDITURE,3361,,False,מד״א,Red David Shield,,ماجن دافيد أدوم,,,,
8362,836,,EXPENDITURE,3362,,False,נט״ן,Intensive Care Unit,,وحدة العناية الطارئة,,,,
